	sent_nr	word_pos	sent_pos	last_word	token	sent_has_unresolved	distance	subj_nr	rt_ff	rt_fp	rt_rb	rt_gp	spill_ff	spill_fp	spill_rb	spill_gp	inverse_distance	clean_token	reflexive	ana_category	multiple_drefs	word_length	num_prev_anas	resolved	target_skipped
335	18	5	177	0	his	True	-4	12	128	128	128	996	0	0	0	0	-4	his	False	P	False	3	1	1	0
337	18	5	149	0	his	True	-4	14	288	288	288	500	0	0	0	0	-4	his	False	P	False	3	1	1	0
338	18	5	36	0	his	True	-4	15	232	232	336	720	0	0	0	0	-4	his	False	P	False	3	1	1	0
339	18	5	38	0	his	True	-4	16	248	248	248	248	172	580	580	580	-4	his	False	P	False	3	1	1	0
340	18	5	84	0	his	True	-4	17	172	172	172	172	116	116	116	484	-4	his	False	P	False	3	1	1	0
341	18	5	147	0	his	True	-4	18	204	292	292	292	0	0	0	0	-4	his	False	P	False	3	1	1	0
342	18	5	51	0	his	True	-4	19	64	64	296	1200	152	152	152	636	-4	his	False	P	False	3	1	1	0
346	18	5	175	0	his	True	-4	23	172	172	172	172	176	176	1052	2192	-4	his	False	P	False	3	1	1	0
347	18	5	136	0	his	True	-4	24	440	440	440	440	276	276	276	276	-4	his	False	P	False	3	1	1	0
348	18	5	158	0	his	True	-4	25	220	220	220	336	104	104	104	104	-4	his	False	P	False	3	1	1	0
349	18	5	13	0	his	True	-4	27	308	308	308	308	280	280	280	280	-4	his	False	P	False	3	1	1	0
350	18	5	157	0	his	True	-4	28	324	324	324	324	148	148	148	840	-4	his	False	P	False	3	1	1	0
351	18	5	203	0	his	True	-4	29	196	196	196	276	348	348	348	348	-4	his	False	P	False	3	1	1	0
354	18	5	203	0	his	True	-4	32	164	164	164	164	0	0	0	0	-4	his	False	P	False	3	1	1	0
355	18	5	29	0	his	True	-4	33	176	176	268	672	132	132	132	1976	-4	his	False	P	False	3	1	1	0
356	18	5	58	0	his	True	-4	34	168	168	168	1280	0	0	0	0	-4	his	False	P	False	3	1	1	0
358	18	5	22	0	his	True	-4	36	236	236	236	904	0	0	0	0	-4	his	False	P	False	3	1	1	0
359	18	5	188	0	his	True	-4	37	176	176	176	176	140	140	140	324	-4	his	False	P	False	3	1	1	0
360	18	5	141	0	his	True	-4	38	192	192	192	192	88	88	88	88	-4	his	False	P	False	3	1	1	0
363	18	5	136	0	his	True	-4	41	312	312	312	312	372	372	372	372	-4	his	False	P	False	3	1	1	0
364	18	5	184	0	his	True	-4	42	204	204	204	812	0	0	0	0	-4	his	False	P	False	3	1	1	0
365	18	5	195	0	his	True	-4	43	148	148	148	348	188	188	188	188	-4	his	False	P	False	3	1	1	0
447	20	3	106	0	his	True	-2	1	168	296	296	296	0	0	0	0	-2	his	False	P	False	3	1	1	0
448	20	3	202	0	his	True	-2	2	160	160	160	320	276	276	276	276	-2	his	False	P	False	3	1	1	0
449	20	3	120	0	his	True	-2	3	204	340	340	340	0	0	0	0	-2	his	False	P	False	3	1	1	0
450	20	3	102	0	his	True	-2	4	196	196	196	460	220	220	220	220	-2	his	False	P	False	3	1	1	0
451	20	3	131	0	his	True	-2	5	268	268	268	744	432	432	432	432	-2	his	False	P	False	3	1	1	0
453	20	3	63	0	his	True	-2	7	72	172	172	172	0	0	0	0	-2	his	False	P	False	3	1	1	0
454	20	3	139	0	his	True	-2	8	188	188	188	188	204	204	204	204	-2	his	False	P	False	3	1	1	0
456	20	3	197	0	his	True	-2	11	156	156	156	156	156	156	156	156	-2	his	False	P	False	3	1	1	0
458	20	3	67	0	his	True	-2	13	200	200	200	412	236	236	236	236	-2	his	False	P	False	3	1	1	0
459	20	3	203	0	his	True	-2	14	204	204	204	204	244	244	244	244	-2	his	False	P	False	3	1	1	0
460	20	3	40	0	his	True	-2	15	44	264	264	264	164	404	508	720	-2	his	False	P	False	3	1	1	0
461	20	3	103	0	his	True	-2	16	152	152	152	152	192	192	192	192	-2	his	False	P	False	3	1	1	0
464	20	3	72	0	his	True	-2	19	180	180	180	180	204	204	204	960	-2	his	False	P	False	3	1	1	0
465	20	3	105	0	his	True	-2	20	156	156	156	156	188	188	188	188	-2	his	False	P	False	3	1	1	0
467	20	3	203	0	his	True	-2	22	184	184	184	184	188	188	188	188	-2	his	False	P	False	3	1	1	0
468	20	3	200	0	his	True	-2	23	192	192	192	852	0	0	0	0	-2	his	False	P	False	3	1	1	0
469	20	3	90	0	his	True	-2	24	168	168	168	168	196	196	196	196	-2	his	False	P	False	3	1	1	0
471	20	3	173	0	his	True	-2	27	272	272	272	272	168	284	284	688	-2	his	False	P	False	3	1	1	0
473	20	3	153	0	his	True	-2	29	148	148	148	148	156	156	156	156	-2	his	False	P	False	3	1	1	0
474	20	3	199	0	his	True	-2	30	172	172	552	836	0	0	0	0	-2	his	False	P	False	3	1	1	0
475	20	3	200	0	his	True	-2	31	52	52	52	52	172	172	172	172	-2	his	False	P	False	3	1	1	0
476	20	3	14	0	his	True	-2	32	224	224	404	652	116	116	116	116	-2	his	False	P	False	3	1	1	0
477	20	3	119	0	his	True	-2	33	176	176	176	176	140	140	140	140	-2	his	False	P	False	3	1	1	0
478	20	3	127	0	his	True	-2	34	148	148	148	148	352	352	352	352	-2	his	False	P	False	3	1	1	0
479	20	3	175	0	his	True	-2	35	280	352	352	352	280	280	280	280	-2	his	False	P	False	3	1	1	0
480	20	3	143	0	his	True	-2	36	360	360	360	360	0	0	0	0	-2	his	False	P	False	3	1	1	0
