	sent_nr	word_pos	sent_pos	last_word	token	sent_has_unresolved	distance	subj_nr	rt_ff	rt_fp	rt_rb	rt_gp	spill_ff	spill_fp	spill_rb	spill_gp	inverse_distance	clean_token	reflexive	ana_category	multiple_drefs	word_length	num_prev_anas	resolved	target_skipped
461	20	3	103	0	his	True	-2	16	152	152	152	152	192	192	192	192	-2	his	False	P	False	3	1	1	0
462	20	3	3	0	his	True	-2	17	0	0	0	0	192	192	356	1016	-2	his	False	P	False	3	1	1	1
463	20	3	96	0	his	True	-2	18	0	0	0	0	284	284	284	284	-2	his	False	P	False	3	1	1	1
464	20	3	72	0	his	True	-2	19	180	180	180	180	204	204	204	960	-2	his	False	P	False	3	1	1	0
465	20	3	105	0	his	True	-2	20	156	156	156	156	188	188	188	188	-2	his	False	P	False	3	1	1	0
466	20	3	48	0	his	True	-2	21	0	0	0	0	240	240	384	680	-2	his	False	P	False	3	1	1	1
467	20	3	203	0	his	True	-2	22	184	184	184	184	188	188	188	188	-2	his	False	P	False	3	1	1	0
469	20	3	90	0	his	True	-2	24	168	168	168	168	196	196	196	196	-2	his	False	P	False	3	1	1	0
470	20	3	134	0	his	True	-2	25	0	0	0	0	216	216	308	960	-2	his	False	P	False	3	1	1	1
471	20	3	173	0	his	True	-2	27	272	272	272	272	168	284	284	688	-2	his	False	P	False	3	1	1	0
472	20	3	49	0	his	True	-2	28	0	0	0	0	220	348	348	348	-2	his	False	P	False	3	1	1	1
473	20	3	153	0	his	True	-2	29	148	148	148	148	156	156	156	156	-2	his	False	P	False	3	1	1	0
475	20	3	200	0	his	True	-2	31	52	52	52	52	172	172	172	172	-2	his	False	P	False	3	1	1	0
476	20	3	14	0	his	True	-2	32	224	224	404	652	116	116	116	116	-2	his	False	P	False	3	1	1	0
477	20	3	119	0	his	True	-2	33	176	176	176	176	140	140	140	140	-2	his	False	P	False	3	1	1	0
478	20	3	127	0	his	True	-2	34	148	148	148	148	352	352	352	352	-2	his	False	P	False	3	1	1	0
479	20	3	175	0	his	True	-2	35	280	352	352	352	280	280	280	280	-2	his	False	P	False	3	1	1	0
481	20	3	78	0	his	True	-2	37	204	204	204	568	168	168	168	168	-2	his	False	P	False	3	1	1	0
484	20	3	28	0	his	True	-2	41	0	0	0	0	172	216	416	852	-2	his	False	P	False	3	1	1	1
485	20	3	5	0	his	True	-2	42	200	200	200	200	304	304	304	520	-2	his	False	P	False	3	1	1	0
486	20	3	162	0	his	True	-2	43	224	224	224	224	160	160	160	160	-2	his	False	P	False	3	1	1	0
528	21	3	114	0	his	True	-2	1	244	244	244	244	148	148	444	1140	-2	his	False	P	False	3	1	1	0
529	21	3	44	0	his	True	-2	2	92	92	92	92	80	80	264	564	-2	his	False	P	False	3	1	1	0
530	21	3	10	0	his	True	-2	3	212	380	380	380	132	132	132	132	-2	his	False	P	False	3	1	1	0
531	21	3	58	0	his	True	-2	4	0	0	0	0	232	384	384	384	-2	his	False	P	False	3	1	1	1
532	21	3	15	0	his	True	-2	5	240	240	456	1128	144	144	144	144	-2	his	False	P	False	3	1	1	0
533	21	3	116	0	his	True	-2	6	0	0	0	0	156	156	156	156	-2	his	False	P	False	3	1	1	1
535	21	3	86	0	his	True	-2	8	180	180	180	180	200	200	200	200	-2	his	False	P	False	3	1	1	0
536	21	3	146	0	his	True	-2	10	140	140	140	140	128	128	128	128	-2	his	False	P	False	3	1	1	0
537	21	3	70	0	his	True	-2	11	152	152	152	152	136	136	136	136	-2	his	False	P	False	3	1	1	0
538	21	3	36	0	his	True	-2	12	116	116	116	116	224	224	224	224	-2	his	False	P	False	3	1	1	0
539	21	3	142	0	his	True	-2	13	180	180	180	180	156	156	156	156	-2	his	False	P	False	3	1	1	0
540	21	3	101	0	his	True	-2	14	0	0	0	0	176	340	340	340	-2	his	False	P	False	3	1	1	1
541	21	3	30	0	his	True	-2	15	256	256	256	412	232	232	232	232	-2	his	False	P	False	3	1	1	0
542	21	3	48	0	his	True	-2	16	192	192	192	192	144	144	144	144	-2	his	False	P	False	3	1	1	0
543	21	3	155	0	his	True	-2	17	136	136	136	136	244	400	400	684	-2	his	False	P	False	3	1	1	0
544	21	3	152	0	his	True	-2	18	0	0	0	0	240	240	240	240	-2	his	False	P	False	3	1	1	1
545	21	3	42	0	his	True	-2	19	72	72	72	72	296	296	296	432	-2	his	False	P	False	3	1	1	0
546	21	3	18	0	his	True	-2	20	0	0	0	0	180	180	180	180	-2	his	False	P	False	3	1	1	1
547	21	3	63	0	his	True	-2	21	144	144	144	144	52	52	52	52	-2	his	False	P	False	3	1	1	0
548	21	3	51	0	his	True	-2	22	0	0	0	0	220	324	460	1544	-2	his	False	P	False	3	1	1	1
549	21	3	138	0	his	True	-2	23	120	120	120	120	220	220	220	220	-2	his	False	P	False	3	1	1	0
550	21	3	146	0	his	True	-2	24	152	152	152	152	164	164	164	164	-2	his	False	P	False	3	1	1	0
551	21	3	40	0	his	True	-2	25	0	0	0	0	160	292	292	484	-2	his	False	P	False	3	1	1	1
552	21	3	79	0	his	True	-2	27	0	0	0	0	56	56	224	1152	-2	his	False	P	False	3	1	1	1
553	21	3	87	0	his	True	-2	28	140	276	276	276	212	212	212	212	-2	his	False	P	False	3	1	1	0
554	21	3	191	0	his	True	-2	29	0	0	0	0	160	160	160	284	-2	his	False	P	False	3	1	1	1
555	21	3	95	0	his	True	-2	30	280	280	280	280	164	164	164	164	-2	his	False	P	False	3	1	1	0
556	21	3	76	0	his	True	-2	31	0	0	0	0	184	304	304	304	-2	his	False	P	False	3	1	1	1
557	21	3	154	0	his	True	-2	32	264	264	264	264	236	236	236	236	-2	his	False	P	False	3	1	1	0
558	21	3	128	0	his	True	-2	33	160	160	160	160	144	144	144	144	-2	his	False	P	False	3	1	1	0
560	21	3	95	0	his	True	-2	35	116	116	116	116	584	584	792	2312	-2	his	False	P	False	3	1	1	0
561	21	3	126	0	his	True	-2	36	0	0	0	0	208	208	208	208	-2	his	False	P	False	3	1	1	1
562	21	3	190	0	his	True	-2	37	124	124	124	124	180	180	180	180	-2	his	False	P	False	3	1	1	0
563	21	3	107	0	his	True	-2	38	0	0	0	0	352	352	352	352	-2	his	False	P	False	3	1	1	1
565	21	3	67	0	his	True	-2	40	224	224	224	224	304	304	304	304	-2	his	False	P	False	3	1	1	0
567	21	3	119	0	his	True	-2	42	0	0	0	0	296	296	296	296	-2	his	False	P	False	3	1	1	1
568	21	3	93	0	his	True	-2	43	128	128	128	128	212	212	212	212	-2	his	False	P	False	3	1	1	0
859	32	5	72	0	our	True	-4	6	312	312	312	312	248	248	248	248	-4	our	False	P	True	3	1	1	0
862	32	5	58	0	our	True	-4	10	192	192	408	940	196	196	196	1104	-4	our	False	P	True	3	1	1	0
865	32	5	23	0	our	True	-4	13	184	184	184	184	504	504	504	504	-4	our	False	P	True	3	1	1	0
866	32	5	131	0	our	True	-4	14	0	0	0	0	108	108	108	720	-4	our	False	P	True	3	1	1	1
869	32	5	135	0	our	True	-4	18	276	276	276	276	292	292	292	292	-4	our	False	P	True	3	1	1	0
870	32	5	82	0	our	True	-4	19	260	260	260	260	412	412	412	636	-4	our	False	P	True	3	1	1	0
871	32	5	43	0	our	True	-4	20	0	0	0	0	216	216	384	1220	-4	our	False	P	True	3	1	1	1
872	32	5	71	0	our	True	-4	21	124	124	124	124	232	232	232	1248	-4	our	False	P	True	3	1	1	0
873	32	5	181	0	our	True	-4	22	0	0	0	0	204	204	204	204	-4	our	False	P	True	3	1	1	1
874	32	5	186	0	our	True	-4	23	376	376	376	376	428	1520	1520	1520	-4	our	False	P	True	3	1	1	0
875	32	5	56	0	our	True	-4	24	168	168	168	168	396	396	396	396	-4	our	False	P	True	3	1	1	0
876	32	5	49	0	our	True	-4	25	200	200	200	340	180	180	180	180	-4	our	False	P	True	3	1	1	0
878	32	5	14	0	our	True	-4	28	192	192	192	192	168	168	168	292	-4	our	False	P	True	3	1	1	0
879	32	5	98	0	our	True	-4	29	180	180	180	180	152	152	152	572	-4	our	False	P	True	3	1	1	0
882	32	5	95	0	our	True	-4	32	176	176	176	176	316	316	316	316	-4	our	False	P	True	3	1	1	0
883	32	5	22	0	our	True	-4	33	236	236	236	652	200	744	744	744	-4	our	False	P	True	3	1	1	0
885	32	5	28	0	our	True	-4	35	156	156	156	156	560	560	560	560	-4	our	False	P	True	3	1	1	0
888	32	5	184	0	our	True	-4	38	212	212	212	264	320	320	320	320	-4	our	False	P	True	3	1	1	0
889	32	5	188	0	our	True	-4	39	140	140	232	452	148	148	148	320	-4	our	False	P	True	3	1	1	0
891	32	5	121	0	our	True	-4	41	100	100	300	636	148	148	148	148	-4	our	False	P	True	3	1	1	0
892	32	5	82	0	our	True	-4	42	0	0	0	0	288	288	288	1012	-4	our	False	P	True	3	1	1	1
893	32	5	153	0	our	True	-4	43	212	212	212	212	144	144	144	472	-4	our	False	P	True	3	1	1	0
1138	42	5	26	0	he	False	-4	1	216	216	216	216	412	412	412	412	-4	he	False	O	False	2	0	1	0
