	distance	word_pos	sent_pos	sent_nr	subj_nr	token	resolved	rt_fp	spill_fp	inverse_distance	clean_token	reflexive	ana_category	multiple_drefs	word_length	num_prev_anas	target_skipped
47	?	6	38	35	8	this	0	220	348	?	this	False	O	False	4	0	0
48	?	6	159	35	10	this	0	152	180	?	this	False	O	False	4	0	0
49	?	6	18	35	11	this	0	732	0	?	this	False	O	False	4	0	0
50	?	6	195	35	12	this	0	244	0	?	this	False	O	False	4	0	0
51	?	6	80	35	13	this	0	248	68	?	this	False	O	False	4	0	0
52	?	6	62	35	14	this	0	196	0	?	this	False	O	False	4	0	0
53	?	6	133	35	15	this	0	0	976	?	this	False	O	False	4	0	1
54	?	6	34	35	16	this	0	236	768	?	this	False	O	False	4	0	0
55	?	6	117	35	17	this	0	0	220	?	this	False	O	False	4	0	1
56	?	6	91	35	18	this	0	0	388	?	this	False	O	False	4	0	1
57	?	6	153	35	19	this	0	228	0	?	this	False	O	False	4	0	0
58	?	6	26	35	20	this	0	0	348	?	this	False	O	False	4	0	1
59	?	6	41	35	21	this	0	0	192	?	this	False	O	False	4	0	1
60	?	6	198	35	22	this	0	192	296	?	this	False	O	False	4	0	0
61	?	6	168	35	23	this	0	208	576	?	this	False	O	False	4	0	0
62	?	6	119	35	24	this	0	0	160	?	this	False	O	False	4	0	1
63	?	6	186	35	25	this	0	192	240	?	this	False	O	False	4	0	0
64	?	6	81	35	27	this	0	216	0	?	this	False	O	False	4	0	0
65	?	6	203	35	28	this	0	1724	340	?	this	False	O	False	4	0	0
66	?	6	137	35	29	this	0	0	164	?	this	False	O	False	4	0	1
67	?	6	144	35	30	this	0	244	400	?	this	False	O	False	4	0	0
68	?	6	4	35	31	this	0	0	188	?	this	False	O	False	4	0	1
69	?	6	172	35	32	this	0	0	316	?	this	False	O	False	4	0	1
70	?	6	115	35	33	this	0	192	288	?	this	False	O	False	4	0	0
71	?	6	122	35	34	this	0	0	196	?	this	False	O	False	4	0	1
72	?	6	14	35	35	this	0	172	232	?	this	False	O	False	4	0	0
73	?	6	19	35	36	this	0	0	236	?	this	False	O	False	4	0	1
74	?	6	175	35	37	this	0	540	0	?	this	False	O	False	4	0	0
75	?	6	194	35	38	this	0	0	408	?	this	False	O	False	4	0	1
