	sent_nr	word_pos	sent_pos	last_word	token	sent_has_unresolved	distance	subj_nr	rt_ff	rt_fp	rt_rb	rt_gp	spill_ff	spill_fp	spill_rb	spill_gp	inverse_distance	clean_token	reflexive	ana_category	multiple_drefs	word_length	num_prev_anas	resolved	target_skipped	spill_skipped
336	42	5	1	0	he	False	-4	10	120	120	120	120	144	144	1040	2336	-4	he	False	O	False	2	0	1	0	0
337	42	5	4	0	he	False	-4	11	148	148	148	148	132	736	736	736	-4	he	False	O	False	2	0	1	0	0
340	42	5	82	0	he	False	-4	14	248	248	248	248	196	196	692	1068	-4	he	False	O	False	2	0	1	0	0
341	42	5	124	0	he	False	-4	15	224	224	804	976	0	0	0	0	-4	he	False	O	False	2	0	1	0	1
342	42	5	194	0	he	False	-4	16	224	224	224	224	204	204	204	380	-4	he	False	O	False	2	0	1	0	0
343	42	5	177	0	he	False	-4	18	256	256	256	256	444	444	444	444	-4	he	False	O	False	2	0	1	0	0
346	42	5	60	0	he	False	-4	21	200	200	200	520	308	308	308	308	-4	he	False	O	False	2	0	1	0	0
351	42	5	167	0	he	False	-4	27	216	216	216	216	172	484	484	484	-4	he	False	O	False	2	0	1	0	0
352	42	5	102	0	he	False	-4	28	164	164	164	164	164	164	164	164	-4	he	False	O	False	2	0	1	0	0
353	42	5	113	0	he	False	-4	29	160	160	160	160	184	184	184	184	-4	he	False	O	False	2	0	1	0	0
354	42	5	102	0	he	False	-4	30	160	476	476	476	220	220	220	220	-4	he	False	O	False	2	0	1	0	0
355	42	5	25	0	he	False	-4	31	132	132	132	340	96	96	96	96	-4	he	False	O	False	2	0	1	0	0
356	42	5	38	0	he	False	-4	32	148	148	148	148	356	356	356	356	-4	he	False	O	False	2	0	1	0	0
358	42	5	204	0	he	False	-4	34	156	156	156	392	0	0	0	0	-4	he	False	O	False	2	0	1	0	1
359	42	5	194	0	he	False	-4	35	184	184	184	184	136	136	136	136	-4	he	False	O	False	2	0	1	0	0
360	42	5	203	0	he	False	-4	36	168	168	168	168	152	152	152	152	-4	he	False	O	False	2	0	1	0	0
361	42	5	120	0	he	False	-4	37	124	124	124	124	184	184	184	184	-4	he	False	O	False	2	0	1	0	0
362	42	5	63	0	he	False	-4	38	168	168	168	168	172	172	172	172	-4	he	False	O	False	2	0	1	0	0
368	43	6	124	0	his	False	-5	1	204	204	204	204	456	456	456	456	-5	his	False	P	False	3	0	1	0	0
369	43	6	41	0	his	False	-5	2	152	360	360	360	0	0	0	0	-5	his	False	P	False	3	0	1	0	1
370	43	6	16	0	his	False	-5	3	464	464	464	464	248	248	248	600	-5	his	False	P	False	3	0	1	0	0
371	43	6	178	0	his	False	-5	4	192	192	192	192	196	196	196	868	-5	his	False	P	False	3	0	1	0	0
374	43	6	6	0	his	False	-5	7	164	164	320	668	0	0	0	0	-5	his	False	P	False	3	0	1	0	1
375	43	6	173	0	his	False	-5	8	272	272	272	272	0	0	0	0	-5	his	False	P	False	3	0	1	0	1
376	43	6	10	0	his	False	-5	9	68	68	68	68	344	524	1032	1672	-5	his	False	P	False	3	0	1	0	0
378	43	6	60	0	his	False	-5	11	224	224	224	224	188	188	188	656	-5	his	False	P	False	3	0	1	0	0
379	43	6	202	0	his	False	-5	12	148	148	284	800	0	0	0	0	-5	his	False	P	False	3	0	1	0	1
380	43	6	11	0	his	False	-5	13	260	260	260	260	0	0	0	0	-5	his	False	P	False	3	0	1	0	1
382	43	6	28	0	his	False	-5	15	252	252	252	252	0	0	0	0	-5	his	False	P	False	3	0	1	0	1
384	43	6	114	0	his	False	-5	17	360	360	360	2920	0	0	0	0	-5	his	False	P	False	3	0	1	0	1
385	43	6	25	0	his	False	-5	18	204	204	204	204	148	148	148	288	-5	his	False	P	False	3	0	1	0	0
386	43	6	115	0	his	False	-5	19	220	220	220	220	184	184	184	184	-5	his	False	P	False	3	0	1	0	0
388	43	6	32	0	his	False	-5	21	120	120	240	396	104	104	528	1720	-5	his	False	P	False	3	0	1	0	0
389	43	6	120	0	his	False	-5	22	216	216	216	216	0	0	0	0	-5	his	False	P	False	3	0	1	0	1
