sent_nr	word_pos	sent_pos	last_word	token	sent_has_unresolved	distance	subj_nr	rt_ff	rt_fp	rt_rb	rt_gp	spill_ff	spill_fp	spill_rb	spill_gp
10	1	142	0	This	True	?	10	0	0	0	0	288	288	288	288
10	1	162	0	This	True	?	11	268	268	268	268	192	288	288	288
10	1	21	0	This	True	?	12	0	0	0	0	0	0	0	0
10	1	117	0	This	True	?	13	300	300	300	300	264	264	264	264
10	1	192	0	This	True	?	14	0	0	0	0	232	232	232	412
10	1	166	0	This	True	?	15	0	0	0	0	244	244	244	244
10	1	114	0	This	True	?	16	268	268	268	268	164	392	392	392
10	1	65	0	This	True	?	17	268	268	268	268	140	140	140	140
10	1	150	0	This	True	?	18	272	272	272	272	0	0	0	0
10	1	7	0	This	True	?	19	0	0	0	0	228	228	384	496
10	1	142	0	This	True	?	20	240	240	240	240	136	136	136	136
10	1	23	0	This	True	?	21	0	0	0	0	0	0	0	0
10	1	122	0	This	True	?	22	360	360	360	360	96	96	96	96
10	1	137	0	This	True	?	23	308	308	308	308	140	284	284	284
10	1	153	0	This	True	?	24	236	236	236	236	148	148	148	148
10	1	191	0	This	True	?	27	0	0	0	0	228	228	508	708
10	1	91	0	This	True	?	28	280	280	280	280	208	208	604	764
10	1	158	0	This	True	?	29	188	188	188	188	132	232	232	232
10	1	115	0	This	True	?	30	304	304	304	304	224	224	224	224
10	1	105	0	This	True	?	31	0	0	0	0	260	260	260	320
10	1	175	0	This	True	?	32	308	440	440	440	160	160	160	160
10	1	80	0	This	True	?	33	252	252	252	252	160	424	424	424
10	1	48	0	This	True	?	34	268	268	268	268	0	0	0	0
10	1	124	0	This	True	?	35	0	0	0	0	252	252	252	352
10	1	4	0	This	True	?	36	0	0	0	0	16	312	312	480
10	1	96	0	This	True	?	37	200	200	200	200	172	316	316	316
10	1	38	0	This	True	?	38	296	296	296	296	256	256	256	256
10	1	69	0	This	True	?	39	32	32	32	32	128	128	128	128
10	1	44	0	This	True	?	40	128	128	128	128	156	384	384	384
10	1	56	0	This	True	?	41	0	0	0	0	0	0	0	0
10	1	11	0	This	True	?	42	284	284	284	284	144	144	144	144
10	1	144	0	This	True	?	43	296	296	296	296	116	116	116	116
14	5	53	0	his	True	?	1	220	220	220	220	160	160	160	328
14	5	29	0	his	True	?	2	88	88	88	980	0	0	0	0
14	5	193	0	his	True	?	3	168	576	576	740	0	0	0	0
14	5	177	0	his	True	?	4	548	548	548	856	0	0	0	0
14	5	4	0	his	True	?	5	236	236	480	2868	712	712	712	712
14	5	5	0	his	True	?	6	368	368	368	368	0	0	0	0
14	5	167	0	his	True	?	7	0	0	0	0	132	132	1288	2720
14	5	4	0	his	True	?	8	340	340	340	340	184	184	184	924
14	5	60	0	his	True	?	10	192	192	192	192	156	156	156	1536
14	5	10	0	his	True	?	11	148	148	148	148	396	396	396	676
14	5	201	0	his	True	?	12	288	288	288	1480	0	0	0	0
14	5	122	0	his	True	?	13	0	0	0	0	248	820	820	820
14	5	114	0	his	True	?	14	0	0	0	0	220	220	220	436
14	5	155	0	his	True	?	15	132	132	352	768	0	0	0	0
14	5	181	0	his	True	?	16	196	556	556	556	248	1024	1024	1024
14	5	17	0	his	True	?	17	296	296	296	296	128	128	128	520
14	5	108	0	his	True	?	18	240	240	240	424	0	0	0	0
14	5	200	0	his	True	?	19	220	220	220	220	68	68	68	1012
14	5	54	0	his	True	?	20	248	248	248	248	192	192	192	468
14	5	201	0	his	True	?	21	0	0	0	0	140	692	692	692
14	5	6	0	his	True	?	22	0	0	0	0	196	196	512	2308
14	5	92	0	his	True	?	23	192	192	192	192	256	256	1528	4404
14	5	175	0	his	True	?	24	144	272	272	272	0	0	0	0
14	5	154	0	his	True	?	25	148	148	148	148	104	104	876	2012
14	5	166	0	his	True	?	27	128	128	128	640	528	528	528	528
14	5	127	0	his	True	?	28	820	820	820	820	188	188	188	404
14	5	74	0	his	True	?	29	172	284	284	284	728	728	728	728
14	5	173	0	his	True	?	30	248	248	248	248	312	312	312	712
14	5	112	0	his	True	?	31	0	0	0	0	0	0	0	0
14	5	78	0	his	True	?	32	280	280	280	464	0	0	0	0
14	5	142	0	his	True	?	33	132	132	232	400	196	196	796	1564
14	5	1	0	his	True	?	34	296	296	296	296	0	0	0	0
14	5	1	0	his	True	?	35	144	144	144	144	632	632	632	632
14	5	115	0	his	True	?	36	152	152	520	816	0	0	0	0
14	5	126	0	his	True	?	37	156	456	604	1372	256	256	256	708
14	5	108	0	his	True	?	38	188	188	188	304	296	296	640	996
14	5	96	0	his	True	?	39	196	224	224	416	180	180	180	180
14	5	160	0	his	True	?	41	232	232	232	232	100	100	296	992
14	5	76	0	his	True	?	42	0	0	0	0	296	736	736	892
14	5	163	0	his	True	?	43	164	164	308	592	0	0	0	0
16	3	15	0	his	False	-2	1	260	260	260	260	164	164	164	164
16	3	101	0	his	False	-2	2	136	136	136	136	128	128	128	128
16	3	59	0	his	False	-2	3	168	168	168	168	248	248	248	248
16	3	148	0	his	False	-2	4	148	148	148	148	332	332	332	332
16	3	72	0	his	False	-2	5	164	164	164	164	192	192	192	192
16	3	192	0	his	False	-2	6	124	124	124	124	0	0	0	0
16	3	195	0	his	False	-2	7	160	160	160	160	0	0	0	0
16	3	22	0	his	False	-2	8	196	196	196	196	140	140	140	140
16	3	5	0	his	False	-2	9	196	196	196	196	164	164	164	164
16	3	86	0	his	False	-2	10	156	156	156	156	68	68	68	68
16	3	16	0	his	False	-2	11	136	136	136	136	216	216	216	216
16	3	72	0	his	False	-2	12	0	0	0	0	0	0	0	0
16	3	139	0	his	False	-2	13	184	184	184	184	0	0	0	0
16	3	177	0	his	False	-2	14	256	256	256	256	0	0	0	0
16	3	142	0	his	False	-2	15	196	196	196	196	0	0	0	0
16	3	113	0	his	False	-2	16	212	212	212	212	164	164	164	164
16	3	158	0	his	False	-2	17	0	0	0	0	212	212	212	516
16	3	45	0	his	False	-2	18	252	252	252	252	136	136	136	136
16	3	8	0	his	False	-2	19	160	160	160	160	236	236	236	236
16	3	204	0	his	False	-2	20	0	0	0	0	192	192	192	192
16	3	55	0	his	False	-2	21	212	212	400	708	120	120	120	120
16	3	101	0	his	False	-2	22	168	388	388	388	0	0	0	0
16	3	103	0	his	False	-2	23	132	288	288	288	264	264	264	264
16	3	40	0	his	False	-2	24	160	160	160	160	204	204	204	204
16	3	166	0	his	False	-2	25	136	136	136	136	148	148	148	148
16	3	26	0	his	False	-2	27	72	72	72	552	300	300	300	300
16	3	23	0	his	False	-2	28	0	0	0	0	0	0	0	0
16	3	97	0	his	False	-2	29	180	180	180	180	188	188	188	188
16	3	70	0	his	False	-2	30	276	276	488	744	212	212	212	212
16	3	136	0	his	False	-2	31	144	144	144	144	120	120	120	120
16	3	41	0	his	False	-2	32	184	184	184	184	200	200	200	200
16	3	2	0	his	False	-2	33	188	188	188	188	136	136	136	136
16	3	92	0	his	False	-2	34	220	220	220	432	212	424	424	424
16	3	35	0	his	False	-2	35	0	0	0	0	164	320	320	320
16	3	186	0	his	False	-2	36	180	180	180	180	252	252	252	656
16	3	49	0	his	False	-2	37	212	212	212	212	128	128	128	128
16	3	182	0	his	False	-2	38	0	0	0	0	200	200	200	448
16	3	47	0	his	False	-2	39	0	0	0	0	312	312	312	312
16	3	177	0	his	False	-2	40	0	0	0	0	0	0	0	0
16	3	23	0	his	False	-2	41	0	0	0	0	156	316	316	316
16	3	98	0	his	False	-2	42	0	0	0	0	264	264	264	264
16	3	54	0	his	False	-2	43	0	0	0	0	220	220	220	220
17	4	158	0	his	False	-3	1	188	344	344	344	136	136	136	136
17	4	197	0	his	False	-3	2	168	168	168	168	0	0	0	0
17	4	122	0	his	False	-3	3	144	144	144	312	184	184	184	184
17	4	5	0	his	False	-3	4	88	172	172	172	288	288	476	640
17	4	105	0	his	False	-3	5	0	0	0	0	256	256	256	256
17	4	86	0	his	False	-3	6	184	184	184	184	444	444	444	444
17	4	121	0	his	False	-3	7	0	0	0	0	88	88	88	88
17	4	51	0	his	False	-3	8	196	196	196	196	248	248	248	516
17	4	31	0	his	False	-3	10	0	0	0	0	0	0	0	0
17	4	37	0	his	False	-3	11	124	124	124	124	132	132	132	132
17	4	143	0	his	False	-3	12	224	224	224	576	116	116	116	116
17	4	52	0	his	False	-3	13	208	208	208	208	168	168	168	168
17	4	22	0	his	False	-3	14	208	208	208	208	216	216	216	216
17	4	119	0	his	False	-3	15	0	0	0	0	496	496	496	496
17	4	169	0	his	False	-3	16	240	412	412	412	216	464	464	464
17	4	86	0	his	False	-3	17	292	292	292	292	172	308	308	308
17	4	115	0	his	False	-3	18	208	208	208	208	0	0	0	0
17	4	205	0	his	False	-3	19	244	244	244	244	168	168	344	812
17	4	116	0	his	False	-3	20	0	0	0	0	200	200	200	200
17	4	189	0	his	False	-3	21	0	0	0	0	272	420	420	420
17	4	52	0	his	False	-3	22	288	288	288	288	196	196	196	196
17	4	75	0	his	False	-3	23	184	184	184	184	200	200	200	200
17	4	14	0	his	False	-3	24	0	0	0	0	156	156	312	708
17	4	103	0	his	False	-3	25	164	316	316	316	192	192	192	192
17	4	195	0	his	False	-3	27	228	228	228	228	28	28	212	428
17	4	77	0	his	False	-3	28	140	140	268	544	160	160	160	160
17	4	31	0	his	False	-3	29	0	0	0	0	144	144	300	1096
17	4	133	0	his	False	-3	30	0	0	0	0	292	292	292	488
17	4	138	0	his	False	-3	31	0	0	0	0	128	128	128	128
17	4	138	0	his	False	-3	32	208	444	444	720	168	168	168	168
17	4	46	0	his	False	-3	33	136	136	136	316	124	124	124	124
17	4	69	0	his	False	-3	34	252	252	252	252	252	252	252	252
17	4	102	0	his	False	-3	35	144	144	144	144	156	156	156	156
17	4	124	0	his	False	-3	36	0	0	0	0	284	284	284	284
17	4	112	0	his	False	-3	37	156	156	156	212	240	240	240	240
17	4	82	0	his	False	-3	38	248	248	248	248	144	144	144	144
17	4	148	0	his	False	-3	39	0	0	0	0	0	0	0	0
17	4	47	0	his	False	-3	40	140	140	140	140	140	140	140	140
17	4	67	0	his	False	-3	41	0	0	0	0	0	0	0	0
17	4	109	0	his	False	-3	42	0	0	0	0	208	208	208	208
17	4	28	0	his	False	-3	43	180	180	180	180	228	228	228	228
18	1	33	0	He	True	?	1	248	352	352	352	160	312	312	312
18	1	120	0	He	True	?	2	232	232	232	232	48	48	48	48
18	1	75	0	He	True	?	3	392	392	392	392	148	148	148	148
18	1	105	0	He	True	?	4	0	0	0	0	332	332	332	332
18	1	81	0	He	True	?	5	0	0	0	0	0	0	0	0
18	1	46	0	He	True	?	6	0	0	0	0	244	244	244	244
18	1	107	0	He	True	?	7	0	0	0	0	224	224	224	224
18	1	153	0	He	True	?	8	0	0	0	0	256	384	384	384
18	1	135	0	He	True	?	10	0	0	0	0	348	348	348	348
18	1	201	0	He	True	?	11	252	252	252	252	144	144	144	144
18	1	177	0	He	True	?	12	352	352	352	352	152	152	364	616
18	1	27	0	He	True	?	13	264	264	264	264	312	312	312	312
18	1	149	0	He	True	?	14	0	0	0	0	300	760	760	760
18	1	36	0	He	True	?	15	0	0	0	0	60	60	60	60
18	1	38	0	He	True	?	16	0	0	0	0	244	448	448	448
18	1	84	0	He	True	?	17	0	0	0	0	256	404	404	404
18	1	147	0	He	True	?	18	0	0	0	0	276	344	344	344
18	1	51	0	He	True	?	19	0	0	0	0	0	0	0	0
