sent_nr	word_pos	sent_pos	last_word	token	sent_has_unresolved	distance	subj_nr	rt_ff	rt_fp	rt_rb	rt_gp	spill_ff	spill_fp	spill_rb	spill_gp
43	6	60	0	his	False	-5	11	224	224	224	224	188	188	188	656
43	6	202	0	his	False	-5	12	148	148	284	800	0	0	0	0
43	6	11	0	his	False	-5	13	260	260	260	260	0	0	0	0
43	6	170	0	his	False	-5	14	0	0	0	0	440	440	440	440
43	6	28	0	his	False	-5	15	252	252	252	252	0	0	0	0
43	6	84	0	his	False	-5	16	0	0	0	0	188	188	624	880
43	6	114	0	his	False	-5	17	360	360	360	2920	0	0	0	0
43	6	25	0	his	False	-5	18	204	204	204	204	148	148	148	288
43	6	115	0	his	False	-5	19	220	220	220	220	184	184	184	184
43	6	109	0	his	False	-5	20	0	0	0	0	324	324	324	592
43	6	32	0	his	False	-5	21	120	120	240	396	104	104	528	1720
43	6	120	0	his	False	-5	22	216	216	216	216	0	0	0	0
43	6	160	0	his	False	-5	23	172	172	172	172	396	656	656	656
43	6	68	0	his	False	-5	24	264	264	264	588	0	0	0	0
43	6	9	0	his	False	-5	25	0	0	0	0	0	0	0	0
43	6	138	0	his	False	-5	27	196	196	196	196	124	668	668	668
43	6	8	0	his	False	-5	28	156	324	324	324	440	440	440	792
43	6	64	0	his	False	-5	29	136	136	136	136	160	160	160	508
43	6	98	0	his	False	-5	30	492	492	492	492	0	0	0	0
43	6	167	0	his	False	-5	31	0	0	0	0	0	0	0	0
43	6	132	0	his	False	-5	32	216	216	216	216	312	312	312	312
43	6	17	0	his	False	-5	33	172	172	344	836	260	260	260	836
43	6	5	0	his	False	-5	34	156	156	156	156	176	176	176	176
43	6	91	0	his	False	-5	35	324	324	324	736	0	0	0	0
43	6	153	0	his	False	-5	36	164	164	164	164	0	0	0	0
43	6	34	0	his	False	-5	37	300	396	396	580	0	0	0	0
43	6	192	0	his	False	-5	38	192	192	192	192	0	0	0	0
43	6	45	0	his	False	-5	39	0	0	0	0	232	232	772	1528
